Product title,Brand,Model,Total price (LKR),Discount price (if available),RAM,Storage,Processor,Battery capacity,Camera specs,Display size,Operating system,Network type,Warranty,Stock availability,Seller / store name,Posted date,Product URL
Samsung Galaxy A07 8GB|256GB|ANDROID (Brand New),Samsung,Samsung Galaxy A07 8GB|256GB|ANDROID (Brand New),39990,,,8GB,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/samsung-galaxy-a07-8gb256gbandroid-brand-new-for-sale-colombo-4
Xiaomi Redmi 15C 6|128GB|ANDROID (Brand New),Xiaomi,Xiaomi Redmi 15C 6|128GB|ANDROID (Brand New),36990,,,128GB,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/xiaomi-redmi-15c-6128gbandroid-brand-new-for-sale-colombo-1
Xiaomi Redmi Note 14 Pro 8GB|256GB|5G (Brand New),Xiaomi,Xiaomi Redmi Note 14 Pro 8GB|256GB|5G (Brand New),67990,,,8GB,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/xiaomi-redmi-note-14-pro-8gb256gb5g-brand-new-for-sale-colombo
Xiaomi Redmi Note 15 Pro Plus 8GB|5G (Brand New),Xiaomi,Xiaomi Redmi Note 15 Pro Plus 8GB|5G (Brand New),119990,,,8GB,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/xiaomi-redmi-note-15-pro-plus-8gb5g-brand-new-for-sale-colombo
Xiaomi Redmi A5 4GB|128GB (Brand New),Xiaomi,Xiaomi Redmi A5 4GB|128GB (Brand New),29490,,,4GB,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/xiaomi-redmi-a5-4gb128gb-brand-new-for-sale-colombo-25
Honor X9a (Used),Honor,Honor X9a (Used),75000,,,,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/honor-x9a-used-for-sale-colombo-39
Xiaomi Redmi 15C 4GB|128GB|Android (Brand New),Xiaomi,Xiaomi Redmi 15C 4GB|128GB|Android (Brand New),35990,,,4GB,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/xiaomi-redmi-15c-4gb128gbandroid-brand-new-for-sale-colombo-5
Xiaomi Redmi Note 14 6/128GB (Brand New),Xiaomi,Xiaomi Redmi Note 14 6/128GB (Brand New),72900,,,128GB,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/xiaomi-redmi-note-14-6-128gb-brand-new-for-sale-kandy-4
Vivo Y17 8GB|256GB (Used),Vivo,Vivo Y17 8GB|256GB (Used),11900,,,8GB,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/vivo-y17-8gb256gb-used-for-sale-colombo-334
Apple iPhone 17 256gb (Brand New),Apple,Apple iPhone 17 256gb (Brand New),294000,,,256gb,,,,,iOS,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/apple-iphone-17-256gb-brand-new-for-sale-kandy-8
Vivo Y93 6GB /128GB (Used),Vivo,Vivo Y93 6GB /128GB (Used),8300,,,6GB,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/vivo-y93-6gb-128gb-used-for-sale-colombo-8685
Samsung Galaxy S24 Ultra 12/256GB (Brand New),Samsung,Samsung Galaxy S24 Ultra 12/256GB (Brand New),254900,,,256GB,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/samsung-galaxy-s24-ultra-12-256gb-brand-new-for-sale-kandy-32
Apple iPhone 16 Pro 256GB (Used),Apple,Apple iPhone 16 Pro 256GB (Used),265000,,,256GB,,,,,iOS,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/apple-iphone-16-pro-256gb-used-for-sale-colombo-782
Samsung Galaxy S22 5G 256GB 8GB RAM (Used),Samsung,Samsung Galaxy S22 5G 256GB 8GB RAM (Used),64900,,8GB RAM,256GB,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/samsung-galaxy-s22-5g-256gb-8gb-ram-used-for-sale-colombo-16
Sony Xperia 1 II 128GB 8GB RAM 5G (Used),Sony,Sony Xperia 1 II 128GB 8GB RAM 5G (Used),37500,,8GB RAM,128GB,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/sony-xperia-1-ii-128gb-8gb-ram-5g-used-for-sale-colombo-3
Samsung Galaxy S25 Ultra 12/256GB (Brand New),Samsung,Samsung Galaxy S25 Ultra 12/256GB (Brand New),284900,,,256GB,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/samsung-galaxy-s25-ultra-12-256gb-brand-new-for-sale-kandy-35
ZTE nubia Neo 5 G (Used),unknown,ZTE nubia Neo 5 G (Used),21500,,,,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/zte-nubia-neo-5g-used-for-sale-colombo-22
